,cases
2020-03-16,3
2020-03-17,3
2020-03-18,5
2020-03-19,12
2020-03-20,14
2020-03-21,15
2020-03-22,27
2020-03-23,29
2020-03-24,32
2020-03-25,37
2020-03-26,45
2020-03-27,51
2020-03-28,55
2020-03-29,56
2020-03-30,58
2020-03-31,69
2020-04-01,77
2020-04-02,82
2020-04-03,84
2020-04-04,93
2020-04-05,112
2020-04-06,113
2020-04-07,121
2020-04-08,121
2020-04-09,128
2020-04-10,130
2020-04-11,133
2020-04-12,133
2020-04-13,133
2020-04-14,133
2020-04-15,135
2020-04-16,135
2020-04-17,136
2020-04-18,136
2020-04-19,136
2020-04-20,136
2020-04-21,136
2020-04-22,136
2020-04-23,139
2020-04-24,141
2020-04-25,141
2020-04-26,141
2020-04-27,141
2020-04-28,141
2020-04-29,141
2020-04-30,145
2020-05-01,145
2020-05-02,145
2020-05-03,145
2020-05-04,145
2020-05-05,145
2020-05-06,149
2020-05-07,149
2020-05-08,151
2020-05-09,151
2020-05-10,151
2020-05-11,151
2020-05-12,152
2020-05-13,152
2020-05-14,152
2020-05-15,154
2020-05-16,154
2020-05-17,154
2020-05-18,154
2020-05-19,154
2020-05-20,154
2020-05-21,165
2020-05-22,165
2020-05-23,165
2020-05-24,166
2020-05-25,166
2020-05-26,167
2020-05-27,170
2020-05-28,171
