,cases
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,3
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,4
2020-03-15,6
2020-03-16,8
2020-03-17,10
2020-03-18,15
2020-03-19,15
2020-03-20,36
2020-03-21,36
2020-03-22,53
2020-03-23,56
2020-03-24,70
2020-03-25,70
2020-03-26,87
2020-03-27,100
2020-03-28,145
2020-03-29,145
2020-03-30,167
2020-03-31,191
2020-04-01,209
2020-04-02,238
2020-04-03,306
2020-04-04,341
2020-04-05,362
2020-04-06,376
2020-04-07,401
2020-04-08,401
2020-04-09,437
2020-04-10,437
2020-04-11,459
2020-04-12,494
2020-04-13,499
2020-04-14,508
2020-04-15,523
2020-04-16,523
2020-04-17,530
2020-04-18,568
2020-04-19,574
2020-04-20,578
2020-04-21,580
