,cases
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,4
2020-03-06,11
2020-03-07,11
2020-03-08,12
2020-03-09,19
2020-03-10,25
2020-03-11,55
2020-03-12,95
2020-03-13,154
2020-03-14,269
2020-03-15,269
2020-03-16,463
2020-03-17,814
2020-03-18,1871
2020-03-19,3954
2020-03-20,5151
2020-03-21,7530
2020-03-22,9654
2020-03-23,12305
2020-03-24,14904
2020-03-25,17856
2020-03-26,21873
2020-03-27,25573
2020-03-28,29776
2020-03-29,33768
2020-03-30,37453
2020-03-31,43119
2020-04-01,47439
2020-04-02,51809
2020-04-03,57159
2020-04-04,63306
2020-04-05,67551
2020-04-06,72181
2020-04-07,76876
2020-04-08,81803
2020-04-09,87028
2020-04-10,92384
2020-04-11,98308
2020-04-12,103208
2020-04-13,106763
2020-04-14,110465
2020-04-15,118302
2020-04-16,123146
2020-04-17,127352
2020-04-18,135572
2020-04-19,138700
2020-04-20,141235
2020-04-21,144190
